maintenance_id,transformer_id,maintenance_date,maintenance_type,technician,temperature_before_c,vibration_before_mm_s,oil_condition_score,maintenance_result,next_maintenance_date
MAIN0039,TR013,2026-05-10 12:53:33,Oil Testing,Team Delta,66.17,2.424,66.31,Action Required,2026-06-08
MAIN0131,TR043,2026-05-11 13:56:55,Partial Discharge Test,Team Bravo,61.72,1.858,69.51,Action Required,2026-06-06
MAIN0152,TR049,2026-05-12 01:23:44,Emergency Repair,Team Charlie,68.47,1.852,81.2,Replacement Recommended,2026-05-20
MAIN0213,TR068,2026-05-12 06:43:27,Partial Discharge Test,Team Echo,57.83,2.488,77.9,Action Required,2026-05-20
MAIN0155,TR050,2026-05-13 02:26:49,Emergency Repair,Team Bravo,67.82,2.747,86.58,Replacement Recommended,2026-05-24
MAIN0230,TR073,2026-05-13 04:00:01,Thermal Inspection,Team Bravo,71.36,3.139,69.18,Action Required,2026-06-08
MAIN0284,TR089,2026-05-13 15:40:52,Emergency Repair,Team Alpha,71.05,4.044,69.93,Temporary Repair,2026-07-21
MAIN0316,TR098,2026-05-14 16:44:08,Oil Testing,Team Delta,88.71,2.562,68.74,Degraded,2026-06-24
MAIN0180,TR058,2026-05-15 00:08:11,Cooling System Inspection,Team Alpha,76.39,3.795,66.67,Fan Issue Found,2026-10-06
MAIN0296,TR092,2026-05-15 12:05:53,Preventive Maintenance,Team Bravo,72.89,1.304,94.09,Completed,2026-10-03
MAIN0274,TR086,2026-05-15 21:40:47,Routine Inspection,Team Bravo,59.18,2.851,74.07,Minor Issue Found,2026-07-11
MAIN0065,TR023,2026-05-16 04:04:17,Partial Discharge Test,Team Delta,60.43,1.961,81.04,Normal,2026-08-25
MAIN0211,TR067,2026-05-17 02:08:00,Routine Inspection,Team Alpha,75.41,2.119,81.06,Action Required,2026-06-08
MAIN0157,TR051,2026-05-17 04:47:43,Preventive Maintenance,Team Bravo,62.02,1.914,78.02,Completed,2026-11-02
MAIN0292,TR091,2026-05-17 09:15:33,Partial Discharge Test,Team Echo,52.78,2.125,79.49,Normal,2026-07-28
MAIN0015,TR006,2026-05-18 22:25:53,Oil Testing,Team Charlie,78.11,2.762,91.91,Action Required,2026-06-05
MAIN0173,TR056,2026-05-19 03:36:11,Routine Inspection,Team Echo,51.07,1.861,88.89,Normal,2026-10-06
MAIN0221,TR070,2026-05-19 06:53:22,Preventive Maintenance,Team Bravo,70.78,2.151,79.08,Completed - Follow-up Required,2026-06-27
MAIN0081,TR027,2026-05-19 21:21:24,Oil Filtration,Team Alpha,78.32,2.985,64.45,Completed - Monitoring Required,2026-09-03
MAIN0189,TR061,2026-05-19 23:37:03,Electrical Testing,Team Echo,61.3,2.843,74.39,Minor Deviation,2026-06-26
MAIN0096,TR034,2026-05-20 05:27:23,Electrical Testing,Team Charlie,71.75,2.082,86.25,Passed,2026-07-27
MAIN0109,TR037,2026-05-20 07:01:14,Thermal Inspection,Team Foxtrot,78.09,2.582,71.68,Hotspot Detected,2026-11-13
MAIN0262,TR082,2026-05-20 09:23:01,Electrical Testing,Team Bravo,62.57,2.485,85.54,Passed,2026-09-25
MAIN0170,TR055,2026-05-21 02:47:30,Vibration Inspection,Team Delta,59.14,2.771,82.35,Elevated Vibration,2026-06-20
MAIN0141,TR046,2026-05-21 13:52:04,Oil Testing,Team Charlie,72.74,2.648,82.39,Action Required,2026-06-03
MAIN0260,TR082,2026-05-21 23:32:10,Electrical Testing,Team Alpha,61.87,1.79,94.17,Passed,2026-11-06
MAIN0207,TR066,2026-05-22 01:10:23,Routine Inspection,Team Echo,64.69,3.508,73.42,Minor Issue Found,2026-07-16
MAIN0280,TR088,2026-05-22 12:17:24,Thermal Inspection,Team Delta,81.02,2.099,84.25,Hotspot Detected,2026-10-22
MAIN0058,TR020,2026-05-22 21:54:38,Routine Inspection,Team Echo,71.8,3.247,57.97,Minor Issue Found,2026-07-12
MAIN0038,TR013,2026-05-23 17:03:04,Vibration Inspection,Team Echo,66.95,2.591,78.97,Elevated Vibration,2026-07-02
MAIN0224,TR071,2026-05-23 19:08:27,Cooling System Inspection,Team Echo,75.53,2.67,86.87,Normal,2026-10-22
MAIN0192,TR062,2026-05-24 18:37:59,Oil Filtration,Team Charlie,67.24,1.878,91.98,Completed - Monitoring Required,2026-09-27
MAIN0208,TR067,2026-05-24 20:53:26,Emergency Repair,Team Echo,65.47,2.479,87.22,Repaired,2026-10-09
MAIN0178,TR058,2026-05-25 01:44:18,Partial Discharge Test,Team Delta,70.21,3.312,79.98,Normal,2026-09-30
MAIN0278,TR087,2026-05-25 09:47:19,Emergency Repair,Team Foxtrot,75.36,2.317,76.91,Temporary Repair,2026-10-28
MAIN0025,TR009,2026-05-25 12:41:39,Vibration Inspection,Team Delta,66.4,1.975,86.02,Action Required,2026-06-13
MAIN0200,TR065,2026-05-27 03:26:55,Thermal Inspection,Team Echo,59.88,1.396,87.32,Normal,2026-07-29
MAIN0297,TR093,2026-05-27 08:28:01,Routine Inspection,Team Alpha,66.46,2.986,83.56,Action Required,2026-06-05
MAIN0086,TR029,2026-05-27 18:11:57,Oil Testing,Team Bravo,66.8,2.562,82.5,Degraded,2026-07-23
MAIN0286,TR090,2026-05-27 21:56:00,Oil Testing,Team Foxtrot,68.28,1.769,86.77,Good,2026-09-12
MAIN0298,TR093,2026-05-28 06:00:16,Routine Inspection,Team Echo,77.73,2.367,90.54,Normal,2026-08-24
MAIN0194,TR063,2026-05-29 01:45:41,Oil Testing,Team Alpha,74.11,2.578,69.48,Action Required,2026-06-15
MAIN0270,TR084,2026-05-29 09:12:50,Preventive Maintenance,Team Bravo,66.47,2.407,81.77,Completed,2026-08-21
MAIN0132,TR043,2026-05-29 19:46:24,Partial Discharge Test,Team Delta,69.24,1.811,83.51,Normal,2026-09-06
MAIN0074,TR025,2026-06-01 03:18:27,Oil Testing,Team Delta,74.3,2.681,74.3,Action Required,2026-06-16
MAIN0201,TR065,2026-06-02 01:52:50,Partial Discharge Test,Team Echo,74.13,2.843,96.14,Elevated PD,2026-07-07
MAIN0085,TR029,2026-06-02 06:20:23,Oil Filtration,Team Bravo,64.94,1.935,92.08,Completed,2026-09-03
MAIN0151,TR049,2026-06-02 07:58:48,Preventive Maintenance,Team Charlie,78.14,2.94,78.44,Completed - Follow-up Required,2026-06-25
MAIN0279,TR087,2026-06-02 21:19:08,Routine Inspection,Team Echo,72.39,2.83,81.3,Normal,2026-10-30
MAIN0206,TR066,2026-06-03 04:15:17,Preventive Maintenance,Team Foxtrot,62.5,2.116,80.98,Completed,2026-08-11
MAIN0236,TR074,2026-06-03 12:38:07,Preventive Maintenance,Team Echo,81.9,2.095,88.59,Completed - Follow-up Required,2026-07-21
MAIN0034,TR012,2026-06-03 14:13:45,Routine Inspection,Team Charlie,82.15,3.504,62.58,Action Required,2026-06-15
MAIN0212,TR068,2026-06-03 21:05:57,Routine Inspection,Team Echo,59.19,2.686,98.24,Normal,2026-11-10
MAIN0204,TR066,2026-06-05 16:59:18,Preventive Maintenance,Team Bravo,69.72,2.107,84.22,Completed - Follow-up Required,2026-07-21
MAIN0014,TR005,2026-06-06 05:51:54,Oil Filtration,Team Bravo,61.46,2.564,94.28,Completed - Monitoring Required,2026-08-21
MAIN0164,TR053,2026-06-06 19:34:53,Oil Filtration,Team Alpha,73.27,2.642,77.61,Completed - Monitoring Required,2026-11-05
MAIN0231,TR073,2026-06-06 22:09:57,Partial Discharge Test,Team Echo,81.22,2.669,47.78,Action Required,2026-06-13
MAIN0076,TR026,2026-06-07 04:42:48,Oil Filtration,Team Bravo,74.13,1.842,96.74,Completed - Monitoring Required,2026-12-03
MAIN0228,TR072,2026-06-07 09:06:00,Oil Filtration,Team Alpha,65.62,2.096,83.66,Completed - Monitoring Required,2026-11-01
MAIN0166,TR053,2026-06-07 10:42:23,Routine Inspection,Team Delta,66.4,2.065,92.17,Normal,2026-10-16
MAIN0029,TR010,2026-06-07 10:51:39,Cooling System Inspection,Team Charlie,66.08,2.439,82.47,Fan Issue Found,2026-08-09
MAIN0017,TR006,2026-06-08 10:09:00,Partial Discharge Test,Team Echo,54.1,2.196,84.72,Normal,2026-11-17
MAIN0307,TR096,2026-06-09 11:29:17,Oil Testing,Team Foxtrot,68.13,3.811,93.35,Good,2026-09-25
MAIN0008,TR004,2026-06-09 16:06:09,Oil Testing,Team Alpha,65.13,2.442,75.91,Action Required,2026-07-05
MAIN0172,TR056,2026-06-09 19:31:41,Preventive Maintenance,Team Bravo,66.23,2.095,89.96,Completed - Follow-up Required,2026-08-06
MAIN0300,TR094,2026-06-11 04:07:42,Oil Filtration,Team Echo,59.32,1.464,91.34,Completed - Monitoring Required,2026-11-24
MAIN0196,TR063,2026-06-11 13:20:19,Routine Inspection,Team Delta,75.61,2.411,74.09,Minor Issue Found,2026-07-30
MAIN0030,TR011,2026-06-11 16:09:32,Oil Testing,Team Foxtrot,75.07,2.92,65.62,Degraded,2026-07-18
MAIN0062,TR022,2026-06-11 20:14:39,Thermal Inspection,Team Bravo,61.33,1.904,93.09,Normal,2026-08-30
MAIN0282,TR089,2026-06-12 03:35:34,Emergency Repair,Team Charlie,77.33,4.0,58.29,Replacement Recommended,2026-06-28
MAIN0066,TR023,2026-06-12 04:29:12,Preventive Maintenance,Team Foxtrot,65.3,2.187,93.63,Completed,2026-11-16
MAIN0160,TR052,2026-06-12 14:12:32,Thermal Inspection,Team Echo,69.49,3.344,82.44,Hotspot Detected,2026-10-15
MAIN0101,TR035,2026-06-12 20:58:31,Emergency Repair,Team Alpha,68.13,2.317,62.67,Replacement Recommended,2026-07-02
MAIN0070,TR024,2026-06-12 21:13:35,Thermal Inspection,Team Delta,77.73,2.866,65.57,Action Required,2026-06-25
MAIN0320,TR100,2026-06-14 09:33:00,Electrical Testing,Team Alpha,72.2,2.694,76.05,Failed - Repair Required,2026-07-09
MAIN0179,TR058,2026-06-15 20:15:56,Oil Testing,Team Alpha,70.86,3.761,55.05,Degraded,2026-08-12
MAIN0144,TR047,2026-06-16 08:29:46,Oil Filtration,Team Foxtrot,63.81,1.701,88.85,Completed,2026-08-19
MAIN0302,TR095,2026-06-16 15:28:49,Routine Inspection,Team Echo,72.41,2.234,80.32,Minor Issue Found,2026-07-21
MAIN0139,TR046,2026-06-18 09:34:09,Electrical Testing,Team Charlie,63.75,1.502,83.57,Failed - Repair Required,2026-06-28
MAIN0019,TR007,2026-06-18 11:51:33,Routine Inspection,Team Bravo,54.98,2.542,86.71,Normal,2026-12-05
MAIN0111,TR038,2026-06-18 14:56:51,Routine Inspection,Team Bravo,66.91,2.203,85.42,Action Required,2026-06-25
MAIN0245,TR077,2026-06-19 13:26:08,Routine Inspection,Team Alpha,63.82,3.376,70.98,Action Required,2026-07-06
MAIN0162,TR052,2026-06-19 17:12:59,Cooling System Inspection,Team Alpha,54.65,2.113,80.09,Normal,2026-10-06
MAIN0281,TR088,2026-06-19 20:56:02,Oil Testing,Team Alpha,65.95,1.673,75.28,Degraded,2026-08-16
MAIN0238,TR075,2026-06-20 05:10:09,Routine Inspection,Team Bravo,72.16,3.055,62.04,Action Required,2026-07-08
MAIN0097,TR034,2026-06-20 19:02:58,Vibration Inspection,Team Bravo,63.14,1.97,93.59,Normal,2026-11-24
MAIN0217,TR069,2026-06-20 20:28:04,Electrical Testing,Team Alpha,64.99,2.096,81.43,Failed - Repair Required,2026-07-07
MAIN0053,TR018,2026-06-21 10:09:52,Routine Inspection,Team Echo,62.14,2.856,79.25,Action Required,2026-06-28
MAIN0036,TR012,2026-06-22 02:54:47,Oil Testing,Team Delta,67.07,3.64,49.03,Degraded,2026-07-23
MAIN0188,TR061,2026-06-22 08:04:26,Electrical Testing,Team Foxtrot,65.7,2.564,68.29,Failed - Repair Required,2026-07-09
MAIN0004,TR002,2026-06-22 14:22:10,Electrical Testing,Team Echo,67.68,3.034,80.8,Failed - Repair Required,2026-07-18
MAIN0116,TR039,2026-06-23 02:32:54,Oil Testing,Team Charlie,75.12,2.955,78.3,Degraded,2026-08-17
MAIN0219,TR069,2026-06-23 06:29:02,Emergency Repair,Team Foxtrot,60.75,2.227,70.37,Temporary Repair,2026-10-01
MAIN0167,TR054,2026-06-23 09:42:38,Thermal Inspection,Team Bravo,64.88,2.32,76.0,Action Required,2026-07-12
MAIN0033,TR012,2026-06-23 15:29:06,Thermal Inspection,Team Bravo,75.59,1.642,78.61,Normal,2026-12-04
MAIN0299,TR093,2026-06-24 02:23:40,Emergency Repair,Team Delta,67.48,2.68,85.52,Replacement Recommended,2026-07-20
MAIN0083,TR028,2026-06-24 07:49:21,Emergency Repair,Team Alpha,64.5,2.465,95.85,Repaired,2026-10-01
MAIN0177,TR058,2026-06-24 20:38:37,Partial Discharge Test,Team Alpha,69.6,3.163,86.77,Normal,2026-11-05
MAIN0069,TR024,2026-06-25 14:20:35,Cooling System Inspection,Team Delta,73.96,2.552,87.69,Fan Issue Found,2026-12-07
MAIN0295,TR092,2026-06-25 21:06:55,Cooling System Inspection,Team Delta,72.83,2.315,82.19,Action Required,2026-07-11
MAIN0185,TR060,2026-06-26 05:14:29,Oil Testing,Team Alpha,77.49,2.555,84.31,Degraded,2026-07-25
MAIN0052,TR017,2026-06-26 15:44:22,Thermal Inspection,Team Echo,66.73,3.078,76.06,Hotspot Detected,2026-09-23
MAIN0285,TR089,2026-06-27 07:36:33,Oil Testing,Team Alpha,79.24,3.467,60.67,Action Required,2026-07-19
MAIN0203,TR065,2026-06-27 10:33:22,Cooling System Inspection,Team Alpha,64.28,1.462,94.68,Fan Issue Found,2026-10-24
MAIN0175,TR057,2026-06-28 06:09:57,Vibration Inspection,Team Alpha,70.03,2.476,68.58,Action Required,2026-07-08
MAIN0124,TR041,2026-06-28 09:37:17,Thermal Inspection,Team Charlie,69.66,3.418,56.72,Normal,2026-10-13
MAIN0222,TR071,2026-06-28 15:55:08,Thermal Inspection,Team Echo,67.4,2.782,64.49,Action Required,2026-07-08
MAIN0137,TR045,2026-06-28 21:40:39,Preventive Maintenance,Team Charlie,73.2,2.126,76.97,Completed - Follow-up Required,2026-08-26
MAIN0242,TR076,2026-06-29 11:32:54,Partial Discharge Test,Team Charlie,70.1,2.4,78.94,Elevated PD,2026-07-25
